Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
174879,On Becoming a Person: A Therapist's View of Psychotherapy,Carl R. Rogers,"Rogers, Carl R.",Peter D. Kramer,"=""039575531X""","=""9780395755310""",0,4.16,Mariner Books,Paperback,448,1995,1961,,2019/08/30,"fall-2019, currently-reading","fall-2019 (#32), currently-reading (#34)",currently-reading,,,,1,,,0,,,,,
58255034,Framers: Human Advantage in an Age of Technology and Turmoil,Kenneth Cukier,"Cukier, Kenneth","Viktor Mayer-Schoenberger, Francis de Véricourt","=""075355500X""","=""9780753555002""",0,3.62,WH Allen,Paperback,,2022,2021,,2022/07/19,to-read,to-read (#1123),to-read,,,,0,,,0,,,,,
58559721,"T: The Story of Testosterone, the Hormone that Dominates and Divides Us",Carole Hooven,"Hooven, Carole",,"=""1788402936""","=""9781788402934""",0,4.04, Cassell,Paperback,352,2022,2021,,2022/07/19,to-read,to-read (#1122),to-read,,,,0,,,0,,,,,
25332694,"Mindwise: Why We Misunderstand What Others Think, Believe, Feel, and Want",Nicholas Epley,"Epley, Nicholas",,"=""0241952727""","=""9780241952726""",0,3.77,Penguin,Paperback,242,2015,2014,,2022/07/16,to-read,to-read (#1121),to-read,,,,0,,,0,,,,,
7487714,Statistical Models: Theory and Practice,David A. Freedman,"Freedman, David A.",,"=""0521743850""","=""9780521743853""",0,4.18,Cambridge University Press,Paperback,458,2009,2005,,2022/07/05,to-read,to-read (#1120),to-read,,,,0,,,0,,,,,
59852733,The Case Against the Sexual Revolution: A New Guide to Sex in the 21st Century,Louise Perry,"Perry, Louise",,"=""""","=""9781509549993""",0,4.42,Polity Books,Paperback,200,2022,2022,,2022/07/04,to-read,to-read (#1119),to-read,,,,0,,,0,,,,,
6265850,Statistics,David  Freedman,"Freedman, David",,"=""0393930432""","=""9780393930436""",0,3.88,W. W. Norton & Company,Paperback,650,2007,1978,,2022/06/28,currently-reading,currently-reading (#33),currently-reading,,,,1,,,0,,,,,
50714359,The Unfair Advantage: How You Already Have What It Takes to Succeed,Ash Ali,"Ali, Ash",Hasan Kubba,"=""1788163311""","=""9781788163316""",0,4.09,Profile Books,Hardcover,256,2020,,,2022/06/28,to-read,to-read (#1118),to-read,,,,0,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",0,4.07,Tor Books,Hardcover,399,2014,2006,,2021/12/26,currently-reading,currently-reading (#32),currently-reading,,,,1,,,0,,,,,
20763722,"Why Information Grows: The Evolution of Order, from Atoms to Economies",Cesar A. Hidalgo,"Hidalgo, Cesar A.",,"=""0465048994""","=""9780465048991""",0,3.98,Basic Books,Hardcover,256,2015,2015,,2022/06/08,to-read,to-read (#1117),to-read,,,,0,,,0,,,,,
44512537,Growth: From Microorganisms to Megacities,Vaclav Smil,"Smil, Vaclav",,"=""0262042835""","=""9780262042833""",0,3.88,The MIT Press,Hardcover,664,2019,2019,,2022/05/30,to-read,to-read (#1116),to-read,,,,0,,,0,,,,,
1837402,How to Get Rich,Felix Dennis,"Dennis, Felix",,"=""009192166X""","=""9780091921668""",0,4.14,Ebury Press,Paperback,352,2007,2008,,2022/05/29,to-read,to-read (#1115),to-read,,,,0,,,0,,,,,
766674,How to Spend $50 Billion to Make the World a Better Place,Bjørn Lomborg,"Lomborg, Bjørn",,"=""0521685710""","=""9780521685719""",0,3.32,Cambridge University Press,Paperback,206,2006,,,2019/09/30,to-read,to-read (#348),to-read,,,,0,,,0,,,,,
7624457,How to Live: A Life of Montaigne in One Question and Twenty Attempts at an Answer,Sarah Bakewell,"Bakewell, Sarah",,"=""0701178922""","=""9780701178925""",0,3.97,Chatto  Windus,Hardcover,387,2010,2010,,2022/05/24,to-read,to-read (#1114),to-read,,,,0,,,0,,,,,
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.80,Scribner,Hardcover,96,1996,1952,,2022/05/24,to-read,to-read (#1112),to-read,,,,0,,,0,,,,,
670089,The Fourth Turning: What the Cycles of History Tell Us about America's Next Rendezvous with Destiny,William Strauss,"Strauss, William",Neil Howe,"=""0767900464""","=""9780767900461""",0,3.90,Crown Publishing Group (NY),Paperback,400,1997,1996,,2022/05/24,to-read,to-read (#1113),to-read,,,,0,,,0,,,,,
337517,Things Hidden Since the Foundation of the World,René Girard,"Girard, René","Stephen Bann, Michael Metteer","=""0804722153""","=""9780804722155""",0,4.30,Stanford University Press,Paperback,480,1987,1978,,2022/05/24,to-read,to-read (#1111),to-read,,,,0,,,0,,,,,
6260320,Shogun,James Clavell,"Clavell, James",,"=""0385343248""","=""9780385343244""",0,4.40,Delta,Paperback,998,2009,1975,,2022/05/24,to-read,to-read (#1110),to-read,,,,0,,,0,,,,,
6667514,The Checklist Manifesto: How to Get Things Right,Atul Gawande,"Gawande, Atul",,"=""0805091742""","=""9780805091748""",0,4.03,Metropolitan Books,Hardcover,208,2009,2009,,2022/05/24,to-read,to-read (#1109),to-read,,,,0,,,0,,,,,
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",0,3.62,Penguin Books,Paperback,307,1976,1957,,2022/05/24,to-read,to-read (#1108),to-read,,,,0,,,0,,,,,
58109010,Leading Hybrid and Remote Teams: A Manual on Benchmarking to Best Practices for Competitive Advantage,Gleb Tsipursky,"Tsipursky, Gleb",,"=""""","=""""",0,4.29,Disaster Avoidance Experts,Kindle Edition,,2021,2021,,2022/05/24,to-read,to-read (#1107),to-read,,,,0,,,0,,,,,
6763725,Capitalist Realism: Is There No Alternative?,Mark Fisher,"Fisher, Mark",,"=""1846943175""","=""9781846943171""",0,4.24,Zero Books,Paperback,81,2009,2009,,2022/05/15,to-read,to-read (#1106),to-read,,,,0,,,0,,,,,
28369185,Staying with the Trouble: Making Kin in the Chthulucene,Donna J. Haraway,"Haraway, Donna J.",,"=""0822362147""","=""9780822362142""",0,4.09,Duke University Press,Hardcover,312,2016,2016,,2022/05/12,to-read,to-read (#1105),to-read,,,,0,,,0,,,,,
738083,Meeting the Universe Halfway: Quantum Physics and the Entanglement of Matter and Meaning,Karen Barad,"Barad, Karen",,"=""082233917X""","=""9780822339175""",0,4.38,Duke University Press,Paperback,524,2007,2006,,2022/05/07,to-read,to-read (#1104),to-read,,,,0,,,0,,,,,
31706504,Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker,"Barker, Eric",,"=""0062416170""","=""9780062416179""",0,4.11,HarperOne,ebook,224,2017,2017,,2022/05/05,to-read,to-read (#1103),to-read,,,,0,,,0,,,,,
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",0,4.24,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2022/05/03,currently-reading,currently-reading (#31),currently-reading,,,,1,,,0,,,,,
31795,The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,"Durant, Will",,"=""0671739166""","=""9780671739164""",0,4.14,Pocket Books,Paperback,704,1991,1926,,2022/04/16,currently-reading,currently-reading (#30),currently-reading,,,,1,,,0,,,,,
53328356,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""0753553899""","=""9780753553893""",0,4.25,WH Allen,Paperback,320,2021,2021,,2022/04/09,to-read,to-read (#1102),to-read,,,,0,,,0,,,,,
58833991,"The System: Who Owns the Internet, and How It Owns Us",James Ball,"Ball, James",,"=""1526607239""","=""9781526607232""",0,3.85,,Paperback,263,2021,,,2022/04/09,to-read,to-read (#1101),to-read,,,,0,,,0,,,,,
56620811,The Age of AI and Our Human Future,Henry Kissinger,"Kissinger, Henry","Eric Schmidt, Daniel Huttenlocher","=""0316273805""","=""9780316273800""",0,3.47,"Little, Brown and Company",Hardcover,272,2021,,,2022/04/09,to-read,to-read (#1100),to-read,,,,0,,,0,,,,,
21926865,The Accidental Superpower: The Next Generation of American Preeminence and the Coming Global Disorder,Peter Zeihan,"Zeihan, Peter",,"=""1455583669""","=""9781455583669""",0,4.34,Twelve,Hardcover,384,2014,2014,,2022/04/09,to-read,to-read (#1099),to-read,,,,0,,,0,,,,,
43330899,A Liberated Mind: How to Pivot Toward What Matters,Steven C. Hayes,"Hayes, Steven C.",,"=""073521400X""","=""9780735214002""",0,4.29,Avery Publishing Group,Hardcover,448,2019,2019,,2022/03/31,currently-reading,currently-reading (#29),currently-reading,,,,1,,,0,,,,,
37570502,The Deepest Well: Healing the Long-Term Effects of Childhood Trauma and Adversity,Nadine Burke Harris,"Harris, Nadine Burke",,"=""132850266X""","=""9781328502667""",0,4.50,Mariner Books,Paperback,234,2019,2018,,2022/03/28,to-read,to-read (#1098),to-read,,,,0,,,0,,,,,
51343259,A Liberated Mind: How to Pivot Toward What Matters,Steven C. Hayes,"Hayes, Steven C.",,"=""0735214018""","=""9780735214019""",0,4.29,Avery Publishing Group,Paperback,448,2020,2019,,2022/03/28,to-read,to-read (#1097),to-read,,,,0,,,0,,,,,
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",0,4.11,Twelve,Kindle Edition,273,2012,2012,,2022/03/25,currently-reading,currently-reading (#28),currently-reading,,,,1,,,0,,,,,
36739769,The Third Door: The Wild Quest to Uncover How the World's Most Successful People Launched Their Careers,Alex Banayan,"Banayan, Alex",,"=""""","=""""",0,4.21,Currency,Hardcover,320,2018,2018,,2022/03/21,to-read,to-read (#1096),to-read,,,,0,,,0,,,,,
25525225,The Diet Myth: The Real Science Behind What We Eat,Tim Spector,"Spector, Tim",,"=""""","=""""",0,4.25,Weidenfeld & Nicolson,Kindle Edition,337,2015,2015,,2022/03/19,to-read,to-read (#1095),to-read,,,,0,,,0,,,,,
177152,"A Theory of Everything: An Integral Vision for Business, Politics, Science & Spirituality",Ken Wilber,"Wilber, Ken",,"=""1570628556""","=""9781570628559""",5,3.96,Shambhala,Paperback,208,2001,1996,,2022/03/17,,,read,,,,1,,,0,,,,,
187104,The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,"Penrose, Roger",,"=""0099440687""","=""9780099440680""",0,4.13,Vintage,Paperback,1136,2006,2004,,2022/03/12,currently-reading,currently-reading (#27),currently-reading,,,,1,,,0,,,,,
55881,Pattern Recognition and Machine Learning,Christopher M. Bishop,"Bishop, Christopher M.",,"=""0387310738""","=""9780387310732""",0,4.31,Springer,Hardcover,738,2006,2006,,2019/01/15,currently-reading,currently-reading (#26),currently-reading,,,,1,,,0,,,,,
55303641,Helgoland,Carlo Rovelli,"Rovelli, Carlo",,"=""0241454697""","=""9780241454695""",0,4.09,Allen Lane,Hardcover,208,2021,2020,,2022/02/11,currently-reading,currently-reading (#25),currently-reading,,,,1,,,0,,,,,
34427079,"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,"Penrose, Roger",,"=""0691178534""","=""9780691178530""",0,3.91,Princeton University Press,Paperback,520,2017,2016,,2022/03/12,to-read,to-read (#1094),to-read,,,,0,,,0,,,,,
58767424,"Happy Sexy Millionaire: Unexpected Truths about Fulfilment, Love and Success",Steven Bartlett,"Bartlett, Steven",,"=""1529393256""","=""9781529393255""",0,4.24,,Paperback,251,2021,,,2022/03/08,currently-reading,currently-reading (#24),currently-reading,,,,1,,,0,,,,,
52255414,"Happy Sexy Millionaire: Unexpected Truths about Fulfillment, Love, and Success",Steven Bartlett,"Bartlett, Steven",,"=""1529301491""","=""9781529301496""",0,4.24,Quercus,Hardcover,224,2021,,,2022/03/08,currently-reading,currently-reading (#23),currently-reading,,,,1,,,0,,,,,
